Sample(20Hz),X_Pos,Y_Pos,Z_Pos,Roll,Pitch,Yaw
1,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
2,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
3,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
4,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
5,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
6,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
7,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
8,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
9,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
10,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
11,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
12,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
13,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
14,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
15,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
16,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
17,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
18,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
19,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
20,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
21,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
22,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
23,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
24,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
25,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
26,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
27,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
28,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
29,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
30,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
31,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
32,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
33,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
34,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
35,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
36,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
37,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
38,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
39,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
40,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
41,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
42,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
43,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
44,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
45,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
46,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
47,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
48,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
49,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
50,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
51,-0.1645,-0.0903,0.2477,3.0612,0.1057,1.1998
52,-0.1641,-0.0908,0.2479,3.0612,0.1066,1.1998
53,-0.1636,-0.0914,0.2482,3.061,0.1078,1.1998
54,-0.1631,-0.0921,0.2484,3.0609,0.1093,1.1999
55,-0.1623,-0.093,0.2487,3.0608,0.1106,1.1999
56,-0.1615,-0.0939,0.2489,3.0606,0.1122,1.2
57,-0.1605,-0.0949,0.2492,3.0605,0.1138,1.2
58,-0.1596,-0.0959,0.2494,3.0603,0.1154,1.2001
59,-0.1581,-0.0973,0.2497,3.0602,0.1169,1.2001
60,-0.1567,-0.0988,0.2498,3.0602,0.1184,1.2002
61,-0.1554,-0.1002,0.2499,3.0602,0.1198,1.2002
62,-0.1542,-0.1016,0.25,3.0602,0.121,1.2002
63,-0.1528,-0.1031,0.2501,3.0601,0.1222,1.2002
64,-0.1517,-0.1045,0.2502,3.0601,0.1233,1.2002
65,-0.1506,-0.1058,0.2502,3.0601,0.1242,1.2002
66,-0.1506,-0.1069,0.2506,3.0601,0.1256,1.2002
67,-0.1512,-0.108,0.251,3.0604,0.1281,1.2001
68,-0.1522,-0.1093,0.2516,3.0607,0.1313,1.1999
69,-0.1534,-0.1105,0.2522,3.061,0.1349,1.1998
70,-0.1549,-0.1118,0.2528,3.0613,0.1388,1.1997
71,-0.1564,-0.113,0.2534,3.0615,0.1428,1.1996
72,-0.1581,-0.1141,0.2539,3.0617,0.1469,1.1995
73,-0.1598,-0.1153,0.2545,3.0619,0.1511,1.1994
74,-0.1616,-0.1163,0.255,3.062,0.1553,1.1994
