Sample(20Hz),X_Pos,Y_Pos,Z_Pos,Roll,Pitch,Yaw
401,-0.3843,-0.2756,0.2471,2.0604,0.7384,1.1993
402,-0.3828,-0.2782,0.2467,2.0535,0.7428,1.1991
403,-0.3813,-0.2806,0.2464,2.0453,0.748,1.199
404,-0.3797,-0.2828,0.2461,2.0372,0.7532,1.1989
405,-0.3783,-0.2847,0.2459,2.029,0.7585,1.1988
406,-0.3766,-0.287,0.2456,2.0208,0.7638,1.1987
407,-0.375,-0.2889,0.2454,2.0125,0.7691,1.1987
408,-0.3734,-0.2909,0.2452,2.0043,0.7744,1.1986
409,-0.3716,-0.2929,0.245,1.996,0.7797,1.1985
410,-0.3699,-0.2948,0.2448,1.9871,0.7855,1.1985
411,-0.3685,-0.2964,0.2447,1.9785,0.791,1.1984
412,-0.3671,-0.2979,0.2445,1.9706,0.7961,1.1984
413,-0.3654,-0.2998,0.2444,1.9633,0.8008,1.1984
414,-0.3639,-0.3014,0.2443,1.9548,0.8063,1.1983
415,-0.3621,-0.3033,0.2441,1.9464,0.8117,1.1983
416,-0.3605,-0.305,0.244,1.938,0.817,1.1983
417,-0.3588,-0.3067,0.2438,1.9297,0.8224,1.1983
418,-0.3572,-0.3084,0.2437,1.9214,0.8278,1.1983
419,-0.3563,-0.3093,0.2437,1.914,0.8325,1.1982
420,-0.3559,-0.3097,0.2436,1.9114,0.8342,1.1981
421,-0.3557,-0.3099,0.2436,1.9098,0.8352,1.1981
422,-0.3556,-0.31,0.2436,1.909,0.8356,1.1981
423,-0.3556,-0.3101,0.2436,1.9087,0.8359,1.1981
424,-0.3556,-0.3101,0.2436,1.9085,0.836,1.1981
425,-0.3567,-0.3092,0.2444,1.906,0.8375,1.1983
426,-0.356,-0.3102,0.2444,1.8996,0.8413,1.1985
427,-0.3546,-0.3117,0.2443,1.8937,0.8451,1.1985
428,-0.3528,-0.3137,0.2441,1.8868,0.8495,1.1986
429,-0.351,-0.3155,0.2439,1.8787,0.8548,1.1986
430,-0.3492,-0.3174,0.2437,1.8706,0.8601,1.1986
431,-0.3474,-0.3191,0.2435,1.8624,0.8654,1.1985
432,-0.3477,-0.3192,0.2442,1.8532,0.8712,1.1987
433,-0.3461,-0.3209,0.2441,1.8436,0.877,1.1989
434,-0.3443,-0.3228,0.2439,1.836,0.882,1.1989
435,-0.3423,-0.3247,0.2436,1.8281,0.8871,1.1989
436,-0.3402,-0.3268,0.2434,1.8201,0.8924,1.1989
437,-0.3406,-0.3267,0.2441,1.8111,0.898,1.199
438,-0.3401,-0.3275,0.2443,1.8045,0.9018,1.199
439,-0.3396,-0.3284,0.2446,1.8015,0.9035,1.199
440,-0.3394,-0.3287,0.2448,1.7995,0.9046,1.199
