Sample(20Hz),X_Pos,Y_Pos,Z_Pos,Roll,Pitch,Yaw
264,-0.4289,-0.2112,0.2526,2.3537,0.5514,1.624
265,-0.4276,-0.2139,0.251,2.35,0.5539,1.6263
266,-0.4257,-0.2166,0.2493,2.3446,0.5576,1.6297
267,-0.4235,-0.2193,0.2476,2.3383,0.562,1.6337
268,-0.4211,-0.222,0.246,2.3315,0.5668,1.638
269,-0.4185,-0.2246,0.2444,2.3244,0.5717,1.6424
270,-0.4161,-0.2267,0.2431,2.3172,0.5768,1.647
271,-0.4132,-0.2292,0.2416,2.3105,0.5815,1.6513
272,-0.41,-0.2318,0.24,2.3028,0.5869,1.6562
273,-0.4095,-0.2324,0.2412,2.2933,0.5927,1.6623
274,-0.409,-0.2333,0.2419,2.2834,0.5982,1.6683
275,-0.4067,-0.2355,0.2407,2.2763,0.6029,1.6725
276,-0.4052,-0.2366,0.2411,2.2675,0.6082,1.6777
277,-0.4034,-0.2381,0.2407,2.258,0.6138,1.6831
278,-0.4008,-0.24,0.2396,2.2507,0.6192,1.6878
279,-0.3982,-0.2416,0.2384,2.2436,0.6248,1.6929
280,-0.3957,-0.2431,0.2373,2.237,0.6299,1.6975
281,-0.3922,-0.245,0.2358,2.2301,0.635,1.7023
282,-0.3894,-0.2465,0.2346,2.223,0.6402,1.7072
283,-0.3857,-0.2483,0.2331,2.2158,0.6454,1.7122
284,-0.3821,-0.2501,0.2316,2.2085,0.6506,1.7172
285,-0.3789,-0.2516,0.2303,2.2006,0.6562,1.7226
286,-0.3756,-0.2531,0.229,2.1935,0.6612,1.7274
287,-0.3722,-0.2546,0.2276,2.1863,0.6663,1.7324
288,-0.3688,-0.2561,0.2263,2.179,0.6715,1.7374
289,-0.3654,-0.2576,0.225,2.1716,0.6767,1.7425
290,-0.362,-0.259,0.2236,2.1643,0.6819,1.7476
291,-0.3585,-0.2603,0.2223,2.1569,0.6872,1.7527
292,-0.3554,-0.2615,0.2211,2.1496,0.6924,1.7578
293,-0.3516,-0.263,0.2196,2.1422,0.6976,1.763
294,-0.3495,-0.2637,0.2188,2.1361,0.7018,1.7671
295,-0.3487,-0.264,0.2185,2.133,0.7041,1.7692
296,-0.3483,-0.2641,0.2184,2.1318,0.7049,1.7701
297,-0.349,-0.2645,0.2184,2.1319,0.7049,1.7702
298,-0.3505,-0.2652,0.2184,2.1338,0.7037,1.769
299,-0.3519,-0.2658,0.2185,2.1368,0.7019,1.7671
300,-0.3538,-0.2665,0.2186,2.1399,0.7,1.7651
301,-0.3556,-0.2672,0.2187,2.1433,0.6979,1.763
302,-0.3575,-0.268,0.2189,2.1467,0.6957,1.7607
303,-0.3592,-0.2686,0.219,2.1503,0.6935,1.7585
304,-0.3613,-0.2694,0.2191,2.1539,0.6912,1.7562
305,-0.3635,-0.2702,0.2193,2.1574,0.689,1.7539
306,-0.3653,-0.2709,0.2194,2.1613,0.6865,1.7514
307,-0.3672,-0.2716,0.2195,2.1648,0.6844,1.7492
308,-0.3689,-0.2722,0.2196,2.1683,0.6821,1.7469
309,-0.371,-0.273,0.2198,2.1719,0.6799,1.7446
310,-0.3732,-0.2737,0.22,2.1755,0.6776,1.7423
311,-0.3752,-0.2745,0.2201,2.1794,0.6752,1.7398
312,-0.3772,-0.2752,0.2203,2.1832,0.6728,1.7373
313,-0.379,-0.2758,0.2204,2.1869,0.6705,1.735
314,-0.381,-0.2765,0.2206,2.1906,0.6682,1.7326
315,-0.383,-0.2772,0.2207,2.194,0.666,1.7304
