Sample(20Hz),X_Pos,Y_Pos,Z_Pos,Roll,Pitch,Yaw
1,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
2,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
3,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
4,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
5,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
6,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
7,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
8,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
9,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
10,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
11,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
12,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
13,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
14,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
15,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
16,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
17,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
18,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
19,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
20,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
21,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
22,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
23,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
24,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
25,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
26,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
27,-0.1653,-0.0903,0.2479,3.0614,0.1061,1.1997
28,-0.1662,-0.0909,0.2483,3.0616,0.1083,1.1996
29,-0.1676,-0.0916,0.2489,3.0619,0.1112,1.1995
30,-0.1691,-0.0923,0.2495,3.0621,0.115,1.1993
31,-0.1706,-0.093,0.25,3.0623,0.1191,1.1992
32,-0.1726,-0.0938,0.2507,3.0625,0.1233,1.1991
33,-0.1744,-0.0945,0.2513,3.0626,0.1277,1.1991
34,-0.1763,-0.0951,0.2518,3.0626,0.1321,1.199
35,-0.1782,-0.0957,0.2523,3.0627,0.1365,1.1989
36,-0.1802,-0.0962,0.2528,3.0627,0.141,1.1989
37,-0.1829,-0.0964,0.2531,3.0626,0.1459,1.1989
38,-0.1854,-0.0964,0.2533,3.0622,0.1513,1.199
39,-0.1867,-0.0964,0.2533,3.062,0.1555,1.1991
40,-0.1874,-0.0964,0.2534,3.062,0.1575,1.1991
41,-0.1877,-0.0964,0.2534,3.0619,0.1585,1.1991
42,-0.1878,-0.0964,0.2534,3.0619,0.1589,1.1991
43,-0.1879,-0.0964,0.2534,3.0619,0.1591,1.1991
44,-0.1879,-0.0964,0.2534,3.0619,0.1592,1.1991
45,-0.1879,-0.0964,0.2534,3.0619,0.1593,1.1991
46,-0.1879,-0.0964,0.2534,3.0619,0.1593,1.1991
47,-0.1879,-0.0964,0.2534,3.0619,0.1593,1.1991
48,-0.1888,-0.0955,0.2531,3.0618,0.1606,1.1992
49,-0.19,-0.0944,0.2529,3.0616,0.1644,1.1992
50,-0.1911,-0.0928,0.2526,3.0615,0.1697,1.1992
51,-0.192,-0.0912,0.2524,3.0613,0.1757,1.1992
52,-0.193,-0.0895,0.2523,3.0613,0.1813,1.1992
53,-0.1938,-0.0879,0.2522,3.0612,0.1877,1.1992
54,-0.1948,-0.0859,0.2521,3.0612,0.194,1.1992
55,-0.1957,-0.0841,0.2521,3.0611,0.2003,1.1992
56,-0.1964,-0.0824,0.252,3.0611,0.2066,1.1992
57,-0.1974,-0.0803,0.2519,3.061,0.2128,1.1992
58,-0.1982,-0.0784,0.2519,3.061,0.219,1.1992
59,-0.1989,-0.0764,0.2518,3.061,0.2252,1.1992
60,-0.1997,-0.0744,0.2517,3.0609,0.2313,1.1992
61,-0.2004,-0.0725,0.2517,3.0609,0.2375,1.1992
62,-0.201,-0.0707,0.2516,3.0608,0.2436,1.1992
63,-0.2014,-0.0695,0.2516,3.0609,0.248,1.1992
64,-0.2016,-0.069,0.2515,3.0609,0.2507,1.1992
65,-0.2017,-0.0687,0.2515,3.061,0.2518,1.1992
66,-0.201,-0.068,0.251,3.061,0.2517,1.1992
67,-0.1998,-0.0671,0.2503,3.0609,0.2494,1.1994
68,-0.1981,-0.0661,0.2493,3.0608,0.246,1.1997
69,-0.1964,-0.0653,0.2485,3.0607,0.2415,1.1999
70,-0.1945,-0.0645,0.2476,3.0607,0.237,1.2001
71,-0.1926,-0.0639,0.2468,3.0607,0.2322,1.2002
72,-0.1916,-0.0637,0.2466,3.0608,0.2287,1.2002
73,-0.1914,-0.0639,0.2469,3.0609,0.2288,1.2
74,-0.1916,-0.0642,0.2475,3.0611,0.2309,1.1996
