Sample(20Hz),X_Pos,Y_Pos,Z_Pos,Roll,Pitch,Yaw
96,-0.2571,-0.1024,0.2532,3.0606,0.3313,1.1997
97,-0.2587,-0.1031,0.2536,3.0607,0.3346,1.1996
98,-0.2602,-0.1037,0.254,3.0608,0.338,1.1995
99,-0.2623,-0.1043,0.2544,3.0609,0.3415,1.1994
100,-0.2642,-0.1047,0.2547,3.061,0.345,1.1993
101,-0.2661,-0.1051,0.255,3.061,0.3486,1.1992
102,-0.2681,-0.1054,0.2552,3.061,0.3522,1.1991
103,-0.2701,-0.1056,0.2555,3.061,0.3559,1.1991
104,-0.2722,-0.1058,0.2557,3.061,0.3595,1.199
105,-0.275,-0.1056,0.2555,3.0609,0.3635,1.1991
106,-0.2769,-0.1057,0.2556,3.0608,0.3676,1.1991
107,-0.2786,-0.1057,0.2558,3.0608,0.3711,1.199
108,-0.281,-0.1054,0.2556,3.0608,0.3747,1.199
109,-0.283,-0.1054,0.2557,3.0607,0.3785,1.199
110,-0.2849,-0.1054,0.2559,3.0608,0.3822,1.199
111,-0.2875,-0.105,0.2556,3.0607,0.3862,1.199
112,-0.2893,-0.1049,0.2557,3.0606,0.3903,1.199
113,-0.2911,-0.1048,0.2559,3.0607,0.3938,1.1989
114,-0.2932,-0.1047,0.256,3.0607,0.3974,1.1989
115,-0.2957,-0.1042,0.2556,3.0606,0.4016,1.1989
116,-0.2973,-0.104,0.2556,3.0605,0.4056,1.199
117,-0.2992,-0.1039,0.2557,3.0606,0.4091,1.1989
118,-0.3011,-0.1038,0.2558,3.0606,0.4126,1.1989
119,-0.303,-0.1037,0.2559,3.0607,0.4163,1.1989
120,-0.3055,-0.103,0.2554,3.0606,0.4202,1.1989
121,-0.3072,-0.1029,0.2554,3.0605,0.4243,1.1989
122,-0.309,-0.1027,0.2555,3.0605,0.4275,1.1989
123,-0.3109,-0.1026,0.2556,3.0606,0.4312,1.1989
124,-0.3128,-0.1024,0.2556,3.0606,0.4349,1.1988
125,-0.3148,-0.1022,0.2556,3.0606,0.4387,1.1988
126,-0.3168,-0.1021,0.2558,3.0606,0.4429,1.1988
127,-0.3195,-0.1015,0.2555,3.0605,0.4478,1.1988
128,-0.3215,-0.1014,0.2557,3.0603,0.4532,1.1988
129,-0.3234,-0.1013,0.256,3.0604,0.458,1.1987
130,-0.3254,-0.1013,0.2563,3.0604,0.463,1.1987
131,-0.328,-0.1006,0.2559,3.0602,0.4685,1.1987
132,-0.3299,-0.1004,0.2561,3.0601,0.4742,1.1987
133,-0.3317,-0.1003,0.2564,3.0601,0.4792,1.1987
134,-0.3342,-0.0996,0.256,3.0601,0.4847,1.1987
135,-0.3361,-0.0994,0.2562,3.0599,0.4904,1.1987
136,-0.3379,-0.0992,0.2564,3.06,0.4954,1.1986
137,-0.3397,-0.0991,0.2566,3.06,0.5006,1.1986
138,-0.3422,-0.0983,0.2561,3.0599,0.5062,1.1986
139,-0.3442,-0.0981,0.2563,3.0598,0.5121,1.1987
140,-0.346,-0.0979,0.2564,3.0599,0.5176,1.1986
141,-0.3478,-0.0977,0.2565,3.0599,0.5226,1.1985
142,-0.3502,-0.0969,0.256,3.0598,0.5282,1.1986
143,-0.352,-0.0966,0.256,3.0597,0.5341,1.1987
144,-0.354,-0.0964,0.2562,3.0598,0.5392,1.1986
145,-0.3558,-0.0962,0.2563,3.0598,0.5449,1.1985
146,-0.3574,-0.096,0.2563,3.0598,0.5501,1.1985
147,-0.3593,-0.0958,0.2564,3.0598,0.555,1.1985
148,-0.3616,-0.095,0.2558,3.0598,0.5609,1.1985
149,-0.3635,-0.0947,0.2559,3.0597,0.5665,1.1986
150,-0.3652,-0.0945,0.2559,3.0598,0.572,1.1985
151,-0.3671,-0.0943,0.256,3.0598,0.577,1.1984
152,-0.3691,-0.094,0.256,3.0598,0.5828,1.1984
153,-0.3708,-0.0937,0.256,3.0599,0.5884,1.1984
154,-0.3728,-0.0934,0.256,3.0599,0.5936,1.1983
155,-0.3748,-0.0931,0.256,3.0599,0.5994,1.1983
156,-0.3768,-0.0927,0.2559,3.0599,0.6051,1.1983
157,-0.3787,-0.0923,0.2558,3.0599,0.6108,1.1983
158,-0.3807,-0.092,0.2557,3.0599,0.6165,1.1983
159,-0.3826,-0.0916,0.2556,3.0599,0.6221,1.1983
160,-0.3846,-0.0912,0.2554,3.0599,0.6278,1.1983
161,-0.3865,-0.0908,0.2553,3.06,0.6335,1.1983
162,-0.3884,-0.0904,0.2552,3.06,0.6391,1.1983
163,-0.3901,-0.0901,0.255,3.06,0.6448,1.1983
164,-0.3922,-0.0896,0.2549,3.06,0.6505,1.1983
165,-0.3941,-0.0892,0.2547,3.0601,0.6562,1.1983
166,-0.396,-0.0888,0.2545,3.0601,0.6619,1.1983
167,-0.3977,-0.0885,0.2544,3.0602,0.6676,1.1983
168,-0.3997,-0.0881,0.2543,3.0602,0.6728,1.1983
169,-0.4016,-0.0877,0.2541,3.0602,0.6787,1.1983
170,-0.4035,-0.0873,0.2539,3.0603,0.6846,1.1983
171,-0.4054,-0.0869,0.2538,3.0603,0.6904,1.1983
172,-0.4073,-0.0865,0.2536,3.0604,0.6962,1.1983
173,-0.4092,-0.0861,0.2534,3.0604,0.7019,1.1983
174,-0.4111,-0.0856,0.2532,3.0605,0.7077,1.1983
175,-0.413,-0.0852,0.253,3.0605,0.7135,1.1983
176,-0.4149,-0.0848,0.2529,3.0606,0.7192,1.1983
177,-0.4167,-0.0844,0.2527,3.0606,0.725,1.1984
178,-0.4186,-0.084,0.2525,3.0607,0.7308,1.1984
179,-0.4205,-0.0836,0.2523,3.0608,0.7366,1.1984
180,-0.4223,-0.0832,0.2522,3.0608,0.7424,1.1984
181,-0.4242,-0.0828,0.252,3.0609,0.7482,1.1984
182,-0.426,-0.0824,0.2518,3.061,0.754,1.1984
183,-0.4279,-0.0819,0.2517,3.061,0.7598,1.1984
184,-0.4297,-0.0815,0.2515,3.0611,0.7656,1.1984
185,-0.4314,-0.0812,0.2514,3.0611,0.7714,1.1984
186,-0.4335,-0.0807,0.2512,3.0612,0.7772,1.1984
187,-0.4353,-0.0803,0.2511,3.0613,0.783,1.1984
188,-0.4372,-0.0798,0.2509,3.0613,0.7889,1.1985
189,-0.439,-0.0794,0.2508,3.0614,0.7947,1.1985
190,-0.4408,-0.079,0.2506,3.0615,0.8005,1.1985
191,-0.4425,-0.0786,0.2505,3.0615,0.8064,1.1985
192,-0.4444,-0.0782,0.2504,3.0616,0.8117,1.1985
193,-0.4463,-0.0777,0.2503,3.0617,0.8178,1.1985
194,-0.4482,-0.0773,0.2501,3.0617,0.8238,1.1985
195,-0.45,-0.0768,0.25,3.0618,0.8297,1.1985
196,-0.4519,-0.0764,0.2499,3.0619,0.8356,1.1985
197,-0.4537,-0.0759,0.2498,3.0619,0.8415,1.1985
198,-0.4556,-0.0754,0.2497,3.062,0.8474,1.1985
199,-0.4574,-0.075,0.2495,3.062,0.8533,1.1986
200,-0.4593,-0.0745,0.2494,3.0621,0.8591,1.1986
201,-0.4611,-0.074,0.2493,3.0622,0.865,1.1986
202,-0.4632,-0.0735,0.2492,3.0622,0.8709,1.1986
203,-0.4649,-0.073,0.2491,3.0623,0.8773,1.1986
204,-0.4668,-0.0726,0.249,3.0623,0.883,1.1986
205,-0.4686,-0.0721,0.2489,3.0624,0.8888,1.1987
206,-0.4706,-0.0716,0.2488,3.0625,0.8946,1.1987
207,-0.4722,-0.0711,0.2488,3.0625,0.901,1.1987
208,-0.4738,-0.0707,0.2487,3.0626,0.9062,1.1987
209,-0.4757,-0.0702,0.2487,3.0626,0.9117,1.1987
210,-0.4776,-0.0697,0.2486,3.0627,0.9179,1.1987
211,-0.4797,-0.0692,0.2486,3.0627,0.924,1.1987
212,-0.4817,-0.0686,0.2485,3.0628,0.9304,1.1987
213,-0.4834,-0.0681,0.2484,3.0628,0.9367,1.1987
214,-0.4852,-0.0675,0.2483,3.0629,0.9423,1.1988
